name;short_name;location_supplier;location_dgcfs;location_xmcfs;location_yantian;location_xiamen;distance_dgcfs;duration_dgcfs;distance_yantian;duration_yantian;distance_xmcfs;duration_xmcfs;distance_xiamen;duration_xiamen
Mianyang Comfort Garment Manuf;COMFORT;104.990918,31.215056;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Hubei Dihaoda garments Co.,Ltd;DIHAODA;114.629109,30.020082;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
QINGDAO RENDA SHOES CO.,LTD;RENDA;120.452653,36.78386;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Dongguan City WanZhi Ind. Comp;WANZHI;113.944554,23.126476;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
A-PRO CYCLES INC LTD;A-PRO;114.341176,22.687354;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GUOLAI PLASTIC MOULD CO., LTD;GUOLAI;113.670156,22.961495;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
MANNONG COMPANY;MANNONG;113.879321,23.073268;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
INNOVATOR PLASTIC&ELECTRONICS;INNOVATOR;113.988791,23.223723;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Zhuhai Lisen Optical;LISEN;113.520357,22.380156;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GUANGZHOU HAOYI GARMENT CO LTD;HAOYI;113.305515,23.289005;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
wealth rich garment (dangyang);RUNFA;111.818891,30.853674;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
GZ Xunli production line;XL PRODUCTION LINE;113.458007,23.17533;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Chinese Rays Technology(HuiDon;Chinese Rays;114.68062,22.954858;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
PUTIAN XINLONG FOOTWEAR CO.,LT;XINLONG;119.092559,25.383256;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HIMALAYA OUTDOOR PRODUCTION CO;HIMALAYA ;113.551268,22.57224;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
ZHONGSHAN SUNFLEX SPORTING GOO;SUNFLEX;113.340584,22.565449;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FUJIAN SUNSHINE FOOTWEAR CO.,L;SUNSHINE;118.623414,24.996824;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DAYTON INDUSTRIAL CO LTD;DAYTON;113.977349,23.051428;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SUNTEX GARMENT MANUFACTURING C;SUNTEX;113.267066,23.3741;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Hubei Yisun Clothing Co., Ltd.;Yisun;111.629482,30.087034;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DONGGUAN BLACK DRAGON SPORTING;BLACK DRAGON;113.720825,22.968405;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
QUANZHOU WANHUA SEWANG MICRO F;WANHUA;118.791478,25.013079;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FAST FIELD RUIYING ELECTRONIC;RUIYING;113.004515,23.09211;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
